dist,delta_t,ref_speed,drv_speed,ref_throttle,drv_throttle,ref_brake,drv_brake,ref_steering,drv_steering,ref_gear,drv_gear,ref_glat,drv_glat,ref_glong,drv_glong,ref_rpm,drv_rpm
200.0,0.0,259.0,259.0,100.0,100.0,0.0,0.0,0.13,-0.03,6.0,6.0,-0.01,0.02,0.16,0.16,6406.0,6583.0
205.0,0.0,260.0,259.0,100.0,100.0,0.0,0.0,0.2,0.04,6.0,6.0,-0.04,0.02,0.16,0.16,6410.0,6588.0
210.0,0.0,260.0,259.0,100.0,100.0,0.0,0.0,0.19,0.04,6.0,6.0,-0.05,0.01,0.17,0.17,6408.0,6585.0
215.0,0.0,261.0,260.0,100.0,100.0,0.0,0.0,0.1,0.04,6.0,6.0,-0.03,0.01,0.15,0.16,6430.0,6604.0
220.0,0.0,261.0,260.0,100.0,100.0,0.0,0.0,0.1,0.05,6.0,6.0,-0.04,0.01,0.15,0.15,6436.0,6614.0
225.0,0.0,261.0,261.0,100.0,100.0,0.0,0.0,0.05,0.005,6.0,6.0,-0.035,0.0,0.16,0.155,6438.0,6612.0
230.0,-2.842170943040401e-14,262.0,261.0,100.0,100.0,0.0,0.0,0.08,0.05,6.0,6.0,-0.04,0.0,0.14,0.14,6460.0,6639.0
235.0,-1.4210854715202004e-14,262.0,261.0,100.0,100.0,0.0,0.0,0.10500000000000001,0.055,6.0,6.0,-0.03,0.0,0.175,0.155,6467.0,6646.5
240.0,0.0,262.0,262.0,100.0,100.0,0.0,0.0,0.12,0.03,6.0,6.0,-0.04,0.0,0.16,0.15,6467.0,6645.0
245.0,0.010000000000005116,263.0,262.0,100.0,100.0,0.0,0.0,0.06,0.03,6.0,6.0,-0.02,0.0,0.13,0.14500000000000002,6483.0,6655.0
250.0,-2.842170943040401e-14,263.0,263.0,100.0,100.0,0.0,0.0,0.09,0.01,6.0,6.0,-0.03,0.0,0.15,0.16,6493.0,6671.0
255.0,0.0,264.0,263.0,100.0,100.0,0.0,0.0,0.1,-0.01,6.0,6.0,-0.03,0.0,0.13,0.14,6515.0,6684.0
260.0,0.0,264.0,263.0,100.0,100.0,0.0,0.0,0.1,0.03,6.0,6.0,-0.025,0.005,0.17,0.16,6504.5,6683.5
265.0,0.0,264.0,264.0,100.0,100.0,0.0,0.0,0.04,0.02,6.0,6.0,-0.02,0.0,0.15,0.14,6514.0,6689.0
270.0,0.009999999999990905,265.0,264.0,100.0,100.0,0.0,0.0,0.03,0.055,6.0,6.0,-0.02,0.0,0.16,0.14,6525.0,6705.0
275.0,0.0,265.0,264.0,100.0,100.0,0.0,0.0,0.07,0.07,6.0,6.0,-0.01,0.01,0.14,0.14,6541.0,6715.0
280.0,0.0,265.0,265.0,100.0,100.0,0.0,0.0,0.09,0.1,6.0,6.0,0.0,0.0,0.15,0.14,6543.0,6718.0
285.0,0.0,266.0,265.0,100.0,100.0,0.0,0.0,0.05,0.11,6.0,6.0,-0.01,-0.01,0.14,0.135,6553.5,6725.0
290.0,0.0,266.0,265.0,100.0,100.0,0.0,0.0,-0.03,0.04,6.0,6.0,0.0,-0.01,0.13,0.15,6560.0,6741.0
295.0,0.009999999999990905,267.0,266.0,100.0,100.0,0.0,0.0,-0.05,0.05,6.0,6.0,0.0,-0.005,0.13,0.135,6563.0,6740.0
300.0,0.009999999999990905,267.0,266.0,100.0,100.0,0.0,0.0,0.015,0.12,6.0,6.0,0.005,-0.03,0.14500000000000002,0.13,6587.5,6765.0
305.0,0.0,267.0,266.0,100.0,100.0,0.0,0.0,0.01,0.08,6.0,6.0,0.01,-0.02,0.17,0.13,6598.0,6783.0
310.0,0.010000000000005116,268.0,267.0,100.0,100.0,0.0,0.0,0.03,0.03,6.0,6.0,0.02,-0.015,0.13,0.14,6585.0,6762.5
315.0,0.010000000000005116,268.0,267.0,100.0,100.0,0.0,0.0,0.07500000000000001,0.07,6.0,6.0,0.01,-0.01,0.13,0.13,6606.0,6781.0
320.0,0.0,268.0,267.0,100.0,100.0,0.0,0.0,0.01,0.06,6.0,6.0,0.01,0.0,0.14,0.14,6613.0,6799.0
325.0,-1.4210854715202004e-14,269.0,268.0,100.0,100.0,0.0,0.0,-0.01,0.055,6.0,6.0,0.01,-0.015,0.14,0.14,6620.0,6800.5
330.0,0.0,269.0,268.0,100.0,100.0,0.0,0.0,0.0,0.07,6.0,6.0,0.01,0.0,0.14,0.14,6633.0,6807.0
335.0,0.0,269.0,268.0,100.0,100.0,0.0,0.0,0.0,0.04,6.0,6.0,0.01,-0.01,0.15,0.13,6630.0,6811.0
340.0,-1.4210854715202004e-14,270.0,269.0,100.0,100.0,0.0,0.0,-0.019999999999999997,0.005,6.0,6.0,0.005,0.0,0.135,0.135,6650.5,6826.0
345.0,-2.842170943040401e-14,270.0,269.0,100.0,100.0,0.0,0.0,-0.02,0.02,6.0,6.0,0.02,0.0,0.12,0.13,6653.0,6834.0
350.0,0.0,270.0,269.0,100.0,100.0,0.0,0.0,-0.03,0.03,6.0,6.0,0.01,0.0,0.13,0.13,6660.0,6838.0
355.0,0.0,271.0,270.0,100.0,100.0,0.0,0.0,-0.005,0.04,6.0,6.0,0.02,0.0,0.15000000000000002,0.135,6682.0,6859.5
360.0,0.010000000000005116,271.0,270.0,100.0,100.0,0.0,0.0,-0.02,0.03,6.0,6.0,0.02,0.0,0.14,0.14,6669.5,6851.0
365.0,0.0,271.0,270.0,100.0,100.0,0.0,0.0,-0.01,0.01,6.0,6.0,0.02,0.0,0.13,0.14,6682.0,6855.0
